"PASSENGERS","ORIGIN","DEST",
0.00,"GUM","PVG",
0.00,"HKG","ANC",
0.00,"HKG","MEM",
0.00,"HNL","AKL",
0.00,"HNL","SYD",
0.00,"ICN","ANC",
0.00,"IND","NRT",
0.00,"KIX","ANC",
0.00,"KIX","MEM",
0.00,"KIX","OAK",
0.00,"MEM","HKG",
0.00,"MEM","ICN",
0.00,"MEM","KIX",
0.00,"MEM","NRT",
0.00,"NRT","ANC",
0.00,"NRT","SAN",
0.00,"OAK","NRT",
0.00,"PVG","MEM",
0.00,"SIN","JFK",
0.00,"SZX","ANC",
0.00,"TPE","ANC",
0.00,"TPE","MEM",
0.00,"CVG","HKG",
0.00,"IAH","MNL",
0.00,"AMS","JFK",
0.00,"ANC","CCS",
0.00,"ANC","HKG",
0.00,"BAH","JFK",
0.00,"BRU","CVG",
0.00,"CVG","LEJ",
0.00,"HKG","ANC",
0.00,"HKG","CVG",
0.00,"HKG","JFK",
0.00,"HKG","LCK",
0.00,"JFK","BAH",
0.00,"JFK","LEJ",
0.00,"LEJ","CVG",
0.00,"LEJ","JFK",
0.00,"FCS","RUH",
0.00,"RUH","FCS",
0.00,"BGI","MIA",
0.00,"BLA","MIA",
0.00,"CUR","MIA",
0.00,"DOM","MIA",
0.00,"KIN","MIA",
0.00,"MAR","MIA",
0.00,"MEX","MIA",
0.00,"MGA","MIA",
0.00,"MIA","ANU",
0.00,"MIA","AUA",
0.00,"MIA","BGI",
0.00,"MIA","BLA",
0.00,"MIA","BZE",
0.00,"MIA","CUN",
0.00,"MIA","KIN",
0.00,"MIA","MAR",
0.00,"MIA","MEX",
0.00,"MIA","MGA",
0.00,"MIA","MID",
0.00,"MIA","PAP",
0.00,"MIA","POS",
0.00,"MIA","PTY",
0.00,"MIA","SAL",
0.00,"MIA","SAP",
0.00,"MIA","SDQ",
0.00,"MIA","SXM",
0.00,"MID","MIA",
0.00,"PAP","MIA",
0.00,"PBM","MIA",
0.00,"POS","MIA",
0.00,"PTP","MIA",
0.00,"PTY","MIA",
0.00,"SAL","MIA",
0.00,"SAP","MIA",
0.00,"SDQ","MIA",
0.00,"SKB","MIA",
0.00,"STI","MIA",
0.00,"CXI","HNL",
0.00,"GUM","MAJ",
0.00,"HNL","CXI",
0.00,"HNL","KWA",
0.00,"HNL","MAJ",
0.00,"HNL","PNI",
0.00,"MAJ","GUM",
0.00,"MAJ","HNL",
0.00,"PNI","GUM",
0.00,"ROR","GUM",
0.00,"ANC","HKG",
0.00,"ANC","ICN",
0.00,"ANC","NRT",
0.00,"ANC","PVG",
0.00,"CVG","BRU",
0.00,"CVG","ICN",
0.00,"CVG","LEJ",
0.00,"CVG","NRT",
0.00,"HKG","ANC",
0.00,"ICN","ANC",
0.00,"LAX","ICN",
0.00,"LAX","PVG",
0.00,"NGO","CVG",
0.00,"NRT","ANC",
0.00,"PVG","ANC",
0.00,"BOG","MIA",
0.00,"GUA","MIA",
0.00,"GYE","MIA",
0.00,"LIM","MIA",
0.00,"MDE","MIA",
0.00,"MIA","BOG",
0.00,"MIA","CLO",
0.00,"MIA","CNF",
0.00,"MIA","CWB",
0.00,"MIA","EZE",
0.00,"MIA","GUA",
0.00,"MIA","GYE",
0.00,"MIA","LIM",
0.00,"MIA","MAO",
0.00,"MIA","MDE",
0.00,"MIA","POS",
0.00,"MIA","PTY",
0.00,"MIA","SJO",
0.00,"MIA","UIO",
0.00,"MIA","VCP",
0.00,"MIA","VIX",
